100 3 1
111
5440 34040 31440 51940 19540 12440 24200 5880 25380 7900 30220 19200 37240 39340 13400 23540 13660 10680 14460 27580 20340 36060 13000 18380 50000 35580 43440 37440 22240 16960 35200 53120 52240 26940 23340 50280 18360 12200 56460 62520 16820 16060 24040 39660 66920 25120 36980 33900 43560 20840 47660 67700 39440 19640 34780 46220 39020 13340 74280 37600 10480 21040 41360 46620 55640 24580 33280 40140 55020 15940 53380 56500 38240 25960 49620 45960 38700 11220 59660 41200 8760 37820 50780 45700 49480 22040 32420 51080 62740 17700 48500 49800 33700 41540 60540 39780 33840 8560 53740 56920  1

21540 66300 49560 45260 17860 11440 21980 6920 17980 27740 49280 27980 50940 33340 13700 18340 7940 9320 27480 53540 18840 27440 11980 10000 41500 36880 61480 44060 24400 14220 29620 48880 58900 28240 35900 54820 16080 10700 49420 56980 15740 14040 12160 49040 84440 33280 31520 23780 29320 21420 57640 84120 45300 17420 20320 37560 43120 13460 93160 43880 10580 10300 47980 51280 76020 20260 27820 25000 65040 18380 54600 74840 29180 16660 54620 38940 43340 12520 80460 27340 7740 16440 67700 59500 54500 17400 23300 32940 84880 18440 58000 53020 26200 21680 71380 41100 47700 12040 58600 31140  1

35580 79300 44480 33000 15000 8740 18820 7060 21760 39640 56580 30960 45600 21980 12800 16160 8040 11940 35360 62980 15720 26820 13400 9280 51920 40660 60420 35780 21620 14420 29520 60080 62020 30300 32600 45840 13860 8800 58540 58940 18420 12760 14780 49860 87980 28240 28460 22400 33220 25800 60740 87780 38040 13440 22240 35880 44320 13080 99440 38880 10080 11100 55420 57860 68520 16360 24360 21660 77260 18720 60840 68160 25120 16620 61020 36200 49160 12940 73640 23700 10700 10940 56600 58380 67620 16940 24860 23300 77140 19620 58500 66860 24920 16040 61020 36760 49960 13520 73240 25580  1

49400 71060 37640 38920 15180 8380 12340 17120 47060 49420 53160 22840 39160 29940 10060 31880 48640 21480 36480 54060 26420 29940 10560 8620 27020 51420 55540 63340 29660 23940 27620 32500 64280 28000 31100 69820 26920 12560 40020 74880 17080 15100 3840 5300 101440 35900 50420 53480 19980 15260 20240 103240 45840 21020 29160 58220 15640 9560 110860 48660 17500 15040 4260 5560 101140 37220 52760 51520 19560 15640 17880 102580 45080 23200 30400 57000 16160 8580 110640 49300 17700 16920 4680 5020 99560 36280 52540 51700 19400 15540 18820 101180 45740 23100 30240 57380 15200 8940 108340 50000  1

6580 10500 57880 44100 17680 8560 25820 7060 19600 8820 9620 14120 61060 32740 15500 20000 9060 9380 16680 11880 20060 18700 11020 15580 49700 43320 39620 25240 34080 19560 27200 50320 58220 21720 18700 36480 21280 13580 58860 56680 9660 14020 48000 65960 42540 16420 37720 19560 59880 23100 58600 42060 33900 24180 52040 39200 43160 12320 47880 25260 9600 71080 53420 33720 39080 18600 28040 73440 65200 14160 37520 37040 30140 71780 51420 28240 25080 10780 47580 84100 9100 68520 53660 34160 39000 17940 28960 71720 67560 14020 36900 35800 29060 72500 52200 28480 25160 10720 46860 80580  1

6940 52800 54280 46000 17080 8420 18060 8380 22340 7520 35820 27760 57860 33100 12040 19820 9460 9180 9660 40800 21100 16420 6440 13960 84480 40560 36660 25960 25760 20820 31800 84640 52920 19140 16340 35500 19440 14740 95120 51920 9040 11300 46940 64900 57700 18320 26480 29080 61980 18540 66720 54820 29360 15880 51460 46840 48980 12240 60740 26460 7720 26720 75820 52940 39200 14960 32600 35600 90220 18420 49280 37300 26340 33320 84120 35340 36860 9780 43900 38200 7400 36980 75020 48980 36320 15760 33320 44380 89300 17200 45460 34720 26480 46000 81020 32920 34140 9480 41140 48980  1

10240 90180 38960 35120 22140 10940 13620 2600 12940 10860 61940 37080 41260 24300 12420 24420 11340 8460 8940 63200 14540 14860 7400 10280 61880 51200 44360 35340 28080 12960 26040 64160 67000 22960 21120 46620 17700 10620 67680 61740 7440 9460 38380 76420 60860 20700 38260 16180 53700 20660 70460 57600 29500 23520 45380 34860 54920 13160 65500 27120 8560 12400 67140 61960 51200 24820 25900 15900 82860 21800 58380 48740 35660 19080 68700 33400 43940 11220 55400 33980 8980 23500 74680 47720 53880 22820 24460 26420 90460 17320 48860 50920 32900 27240 75600 28140 36700 12020 59220 43000  1

